item_text_ar,item_text_en_ai
١. عندما تمسك كلتا يدي طفلك لمساعدته على الوقوف على قدميه بتوازن، هل يخطو بضع خطوات دون أن يتعثر أو يقع؟,"1. When you hold both of your child's hands to help him stand on his feet with balance, does he take a few steps without tripping or falling?"
١. عندما تنادي طفلك وأنت بعيد عن نظره، هل ينظر إلى الاتجاه الذي يصدر منه صوتك؟,"1. When you call your child out of sight, does he look in the direction your voice is coming from?"
١. عندما تُري طفلك كيفية ركل الكرة، هل يحاول ركلها بتحريك ساقه إلى الأمام أو بالمشي تجاه الكرة؟,"1. When you show your child how to kick a ball, does he try to kick it by moving his leg forward or by walking toward the ball?"
١. عندما تُلبس طفلك هل يرفع قدمه لارتداء الحذاء، أو الجورب، أو البنطلون؟,"1. When you dress your child, does he lift his foot to put on shoes, socks, or pants?"
١. عندما يكون طفلك أمام المرآة، هل يبتسم أو يناغي لنفسه؟,"1. When your child is in front of the mirror, does he smile or chatter to himself?"
١. عندما يكون طفلك مستلقيًا على ظهره هل يحاول اللعب بإمساك قدمه؟,"1. When your baby is lying on his back, does he try to play by holding his foot?"
١. عندما يكون طفلك مستلقيًا على ظهره، هل يدير رأسه من جنب إلى آخر؟,"1. When your baby is lying on his back, does he turn his head from side to side?"
١. عندما يكون طفلك مستلقيًا على ظهره، هل يقوم برفع ساقيه عاليًا بقدر يمكنه من رؤية قدميه؟,"1. When your baby is lying on his back, does he raise his legs so high that he can see his feet?"
١. عندما يكون طفلك مستلقيًا على ظهره، هل يلوح بذراعيه وساقيه، ويلوي بجسمه؟,"1. When your baby is lying on his back, does he wave his arms and legs, and twist his body?"
١. عندما يكون طفلك مستيقظًا، هل تكون يده مقبوضة بإحكام في العادة؟,"1. When your child is awake, is his hand usually clenched tightly?"
١. عندما يكون طفلك ممسكاً بلعبتين صغيرتين في كلتا يديه، هل يصفق إحداهما بالأخرى؟,"1. When your child holds two small toys in both hands, does he clap one with the other?"
١. عندما ينظر طفلك إلى المرآة، اسأله “أين ____ (اسم طفلك)؟ هل يشير طفلك إلى صورته المعكوسة بالمرآة؟,"1. When your child looks in the mirror, ask, “Where is ____ (your child’s name)?” Does your child point to his or her reflection in the mirror?"
١. عندما ينظر طفلك إلى المرآة، اسأله “أين _____ (اسم طفلك)؟ هل يشير طفلك إلى صورته المعكوسة بالمرآة؟,"1. When your child looks in the mirror, ask, “Where is _____ (your child’s name)?” Does your child point to his or her reflection in the mirror?"
١. عندما ينظر طفلك لنفسه في المرآة وتسأله: “من تشاهد في المرآة؟”، هل يجيب بذكر اسمه أو بقول “أنا”؟,1. When your child looks at himself in the mirror and you ask him: “Who do you see in the mirror?” does he respond by saying his name or by saying “me”?
١. قم برص أربعة مكعبات أو سيارات في صف مستقيم أمام طفلك، هل يقلدك برصها كلها؟ (بإمكانك استخدام بكرات خيوط، أو صناديق صغيرة، أو ألعاب أخرى).,"1. Arrange four blocks or cars in a straight row in front of your child. Does he imitate you by stacking them all? (You can use spools of string, small boxes, or other toys.)"
١. هل يأخذ طفلك لعبة تقدمها له ثم ينظر إليها، ويلوح بها، أو يعضها لدقيقة واحدة تقريبًا؟,"1. Does your child take a toy you offer and then look at it, wave it, or bite it for about a minute?"
١. هل يتظاهر طفلك باستخدام الأشياء على غير حقيقتها؟ كأن يرفع كوبًا بالقرب من أذنيه متظاهرًا أنه هاتف؟ أو أن يضع صندوقًا على رأسه متظاهرًا أنه قبعة؟ أو أن يستخدم لعبة صغيرة لتقليب طعامه؟,1. Does your child pretend to use things that are not what they are? Like holding a cup up to his ears pretending it was a phone? Or put a box on his head pretending to be a hat? Or use a small toy to stir his food?
١. هل يتناول طفلك الطعام باستخدام الملعقة حتى لو كان بعض الطعام يسقط من ملعقته؟,1. Does your child eat with a spoon even if some of the food falls off his spoon?
١. هل يجري طفلك بشكل جيد، ويتوقف بنفسه عن الجري دون أن يسقط أو يصطدم بشيء؟,1. Does your child run well and stop running on his own without falling or bumping into anything?
١. هل يحاول طفلك الوصول إلى كسرة خبز ولمسها بإصبعه أو بيده؟,1. Does your child try to reach out and touch a piece of bread with his finger or hand?
١. هل يحاول طفلك في بعض الأوقات مص الأشياء، حتى وإن لم يكن جائعًا؟,"1. Does your baby sometimes try to suck on things, even if he's not hungry?"
١. هل يحرك طفلك ساقه إلى الأمام عند ركل الكرة دون أن يمسك بأي شيء؟,1. Does your child move his leg forward when kicking the ball without catching anything?
١. هل يخربش طفلك على الورقة ذهابًا وإيابًا عندما تقوم بإعطائه قلم تلوين أو قلم رصاص أو حبر، من دون أن تريه كيف يفعل ذلك؟,"1. Does your child scribble back and forth on the paper when you give him a crayon, pencil or ink, without you showing him how to do it?"
١. هل يذكر طفلك أسماء ثلاثة أشياء على الأقل تنتمي إلى تصنيف عام؟ على سبيل المثال، إذا قلت له: “اذكر لي ثلاثة أشياء تستطيع أكلها”، فهل يُجيب بتسمية أطعمة مثل البيض والبسكويت، ورقائق القمح “الكورن فلكس”؟ أو إذا قلت له:“ اذكر لي أسماء ثلاثة حيوانات، فهل يُجيب بتسمية حيوانات مثل “البقرة والكلب والفيل”؟,"1. Does your child name at least three things that belong to a general classification? For example, if you say to him: “Name three things that you can eat,” will he respond by naming foods such as eggs, biscuits, and cornflakes? Or if you say to him: “Give me the names of three animals,” will he answer by naming the animals such as “the cow, the dog, and the elephant”?"
١. هل يذكر طفلك صفتين على الأقل لوصف أشياء محسوسة ومألوفة؟ إذا قلت لطفلك مثلً “حدثني عن كرتك” هل يجيب مثلا بأن “الكرة مدورة. أنا أرميها. الكرة كبيرة”؟,"1. Does your child name at least two adjectives to describe tangible, familiar things? If you said to your child, for example, “Tell me about your ball,” would he answer, for example, “The ball is round. I throw it. The ball is big”?"
١. هل يردد طفلك جملة مكونة من كلمتين بعد أن تقال له؟ كأن تقول له:“ ماما تأكل”، أو “بابا يلعب”، أو “اذهب إلى البيت”؟,"1. Does your child repeat a two-word sentence after it is said to him? Like saying to him: “Mommy is eating,” or “Daddy is playing,” or “Go home”?"
١. هل يرمي طفلك الكرة وهو رافعٌ ذراعه بارتفاع كتفه إلى الأمام باتجاه الشخص الذي يبعد عنه مسافة 6 أقدام / مترين؟,1. Does your child throw the ball with his arm raised shoulder height forward toward the person 6 feet/2 meters away?
١. هل يرمي طفلك كرة صغيرة بتحريك ذراعه إلى الأمام؟,1. Does your child throw a small ball by moving his arm forward?
١. هل يساعدك طفلك في تقليب صفحات كتاب؟,1. Does your child help you turn the pages of a book?
١. هل يستخدم طفلك الملعقة ليطعم نفسه حتى إن كان يسقط منها القليل من الأكل؟,"1. Does your child use a spoon to feed himself, even if he drops some food?"
١. هل يستطيع طفلك القفز على قدم واحدة - سواء اليمنى أو اليسرى - مرة واحدة على الأقل دون أن يقع أو يفقد توازنه؟,1. Can your child hop on one foot - either right or left - at least once without falling or losing his balance?
١. هل يستطيع طفلك نسخ الأشكال الموجودة بالأسفل على ورقة كبيرة مستخدمًا قلم تلوين أو قلم رصاص أو حبر دون أن يتتبعها؟,"1. Can your child copy the shapes below onto a large sheet of paper using a crayon, pencil or ink without tracing them?"
١. هل يشرب طفلك من كوب ثم يعيده إلى مكانه؟ حتى وإن انسكب القليل من السائل؟,1. Does your child drink from a cup and then put it back in its place? Even if a little liquid is spilled?
١. هل يشير طفلك إلى الصورة الصحيحة عندما تقول له مثلً:“ أرني القطة”، أوتسأله:“ أين الكلب؟” دون أن تساعده؟,"1. Does your child point to the correct picture when you say, for example: “Show me the cat,” or ask: “Where is the dog?” Without helping him?"
١. هل يشير طفلك، أو يحاول لمس أو التقاط صورة من كتاب ما؟,"1. Does your child point, touch or take a picture from a book?"
١. هل يصدر طفلك في بعض الأوقات أصواتًا من الحنجرة كصوت البحة أو الغرغرة؟,1. Does your child sometimes make throat sounds such as a hoarse or gurgling sound?
١. هل يصعد أو ينزل طفلك درجتين من درجات السلم بنفسه؟ يمكن لطفلك أن يمسك بدرابزين الدرج أو مقابض السلم أو بالحائط.,"1. Does your child walk up or down two flights of stairs on his own? Your child can hold on to the stair railing, ladder handles, or the wall."
١. هل يصعد طفلك سلم الدرج مستخدمًا قدمًا واحدة لكل درجة يصعدها؟,1. Does your child climb stairs using one foot for each step?
١. هل يصعد طفلك فوق كرسي أو غيره للوصول إلى ما يريد؟,1. Does your child climb on a chair or other object to reach what he wants?
١. هل يضحك طفلك بصوت خافت؟,1. Does your child laugh faintly?
١. هل يضع طفلك علامة على الورقة باستخدام رأس قلم تلوين أو قلم رصاص أو حبر؟,"1. Does your child make marks on paper with the tip of a crayon, pencil, or ink?"
١. هل يضع طفلك قدمه في فمه عندما يكون مستلقيًا على ظهره؟,1. Does your baby put his foot in his mouth when he's lying on his back?
١. هل يضع طفلك ملعقة الطعام في فمه بطريقة صحيحة بحيث لا يسقط منها الطعام؟,1. Does your child put the food spoon in his mouth correctly so that the food does not fall out?
١. هل يطلق طفلك أصوات كالأصوات الآتية: ”دا“، و ”با“، و ”كا“، و ”غا“؟,"1. Does your baby make sounds such as “da,” “ba,” “ka,” and “ga”?"
١. هل يطلق طفلك صوتين متشابهين كالأصوات الآتية: ”دا دا“، أو ”با با“، أو ”غا غا“ ؟,"1. Does your child make two similar sounds, such as “da-da,” “ba-ba,” or “ga-ga”?"
١. هل يغسل طفلك يديه بالماء والصابون ثم يجففهما بالمنشفة دون مساعدة؟,1. Does your child wash his hands with soap and water and then dry them with a towel without assistance?
١. هل يقف طفلك بمفرده ويمشي بضع خطوات إلى الأمام؟,1. Does your child stand on his own and walk a few steps forward?
١. هل يقلد طفلك بعض أفعالك كمسح الأرض أو الكنس بالمكنسة، أو الحلاقة، أو تمشيط الشعر؟,"1. Does your child imitate some of your actions, such as mopping the floor, sweeping, shaving, or combing hair?"
١. هل يقلدك طفلك عندما تقوم بإحدى الحركات التالية:,1. Does your child imitate you when you do one of the following movements:
١. هل يقول طفلك ثلاث كلمات مثل: ”ماما“، و“بابا“، و“دادا“؟,"1. Does your child say three words such as: “mama,” “dada,” and “dada”?"
١. هل يقوم طفلك باتباع ثلاثة أوامر مختلفة عن بعضها دون أن تساعده بالإشارة أو بتكرار الأوامر عليه؟,1. Does your child follow three different commands without you helping him by pointing or repeating the commands to him?
١. هل يقوم طفلك بحركة البرم أو اللف بيده؟ كأن يدير مقبض الباب لفتحه، أو يبرم مفتاح لعبته لتشغيلها، أوغطاء علبة لفتحها وإغلاقها؟,"1. Does your child twist or roll with his hands? Like turning a doorknob to open it, or turning the key of a toy to turn it on, or the lid of a box to open and close it?"
١. هل يقوم طفلك بخدمة نفسه بغرف طعامه من إناء لآخر مستخدمًا معلقة أو غيرها من أدوات الطعام؟ هل يستخدم طفلك مثلً معلقة كبيرة ليسكب المرق من علبة إلى إناء؟,"1. Does your child serve himself by scooping his food from one bowl to another using a spoon or other eating utensil? For example, does your child use a large spoon to pour broth from a container into a bowl?"
١. هل يلتقط طفلك بلعبة ويضعها في فمه؟,1. Does your child pick up a toy and put it in his mouth?
١. هل يلتقط طفلك كرة كبيرة بكلتا يديه؟ لا بد أن تقف على مسافة 5 أقدام / 1.5 م من طفلك وتحاول معه مرتين أو ثلاث مرات قبل الإجابة على هذا السؤال.,1. Does your child catch a large ball with both hands? You must stand at a distance of 5 feet/1.5 m from your child and try with him two or three times before answering this question.
١. هل يلتقط طفلك كسرة خبز مستخدمًا رؤوس أصابعه، دون أن يسند يده أو ذراعه على الطاولة؟,"1. Does your child pick up a piece of bread using his tiptoes, without resting his hand or arm on the table?"
١. هل يلتقط طفلك لعبة صغيرة بيد واحدة؟,1. Does your child pick up a small toy with one hand?
١. هل يمرر طفلك اللعبة من يد لأخرى عدة مرات؟,1. Does your child pass the toy from one hand to another several times?
١. هل يميل طفلك بنفسه إلى الأسفل ليلتقط شيئًا من الأرض، ثم يقف مرة ثانية على قدميه دون الحاجة إلى المساعدة؟,"1. Does your child bend down by himself to pick something up from the floor, then get back up on his feet without needing help?"
١. هل يناغي طفلك بصوت عالٍ؟,1. Does your child babble loudly?
١. هل ينزل طفلك درجات السلم ممسكًا بإحدى يديك؟ .,1. Does your child walk down the stairs holding one hand? .
١. هل ينظر طفلك إلى الأشياء التي تبعد عنه مسافة 8 إلى 10 بوصات / 20 إلى 25 سم؟,1. Does your child look at objects 8 to 10 inches/20 to 25 cm away?
١. هل ينظر طفلك إلى يديه؟,1. Does your child look at his hands?
١. هل ينفذ طفلك على الأقل ثلاثا من التعليمات التالية دون أن تساعده بالتلميح أو الإشارة؟,1. Does your child carry out at least three of the following instructions without your help by hinting or pointing?
١. هل يُبقي طفلك يديه مفتوحتين جزئيًا أو بالكامل عندما يكون مستيقظًا؟,1. Does your child keep his hands partially or fully open when awake?
١. هل يُسقط طفلك مجموعة ألعاب صغيرة الواحدة تلو الأخرى في وعاء أو صندوق؟,1. Does your child drop small toys one by one into a bowl or box?
١.اطلب من طفلك أن يرسم فوق الخط المرسوم باستخدام قلم رصاص. هل يتتبع طفلك الخط دون انحراف عنه أكثر من مرتين؟,1. Ask your child to draw over the drawn line using a pencil. Does your child follow the line without deviating from it more than twice?
١.عندما تسأل طفلك “أي دائرة هي الصغرى؟”، هل يشير إلى الدائرة الصغرى؟,"1. When you ask your child, “Which circle is the smallest?” does he point to the smallest circle?"
١.١ برجاء تحديد التعليمات التي ينفذها طفلك:,1.1 Please specify the instructions your child carries out:
١.١ برجاء تحديد الحركات التي يقلدها طفلك:,1.1 Please identify the movements your child is imitating:
١.١ فضلًا اكتب إجابة طفلك في الفراغ التالي:,1.1 Please write your child’s answer in the following space:
١.٢ اذكر مثالاً في الفراغ التالي:,1.2 Give an example in the following space:
١.٢ الرجاء وضع علامة على السؤال المجاب عليه من قبل الطفل:,1.2 Please mark the question answered by the child:
١.٢ برجاء تحديد الأفعال التي يقلدها طفلك:,1.2 Please identify the actions your child imitates:
١.٢ برجاء تحديد التعليمات التي ينفذها طفلك:,1.2 Please specify the instructions your child carries out:
١.٢ “ماذا تفعل إذا شعرت بالجوع؟”,1.2 “What do you do if you feel hungry?”
١.٣ اسأل طفلك مثلا “كيف ذهبتما إلى السوق؟” (ذهبنا مشياً) “ماذا فعلت في منزل صديقك؟” (لعبنا).,"1.3 Ask your child, for example, “How did you go to the market?” (We walked) “What did you do at your friend’s house?” (We played)."
١.٣ برجاء تحديد التعليمات التي ينفذها طفلك:,1.3 Please specify the instructions your child carries out:
١.٣ برجاء تحديد الحركات التي يقلدها بها طفلك:,1.3 Please identify the movements your child imitates:
١.٣ فضلً اكتب إجابة طفلك في الفراغ التالي:,1.3 Please write your child’s answer in the following space:
١.٤ اذكر مثالاً في الفراغ التالي:,1.4 Give an example in the following space:
١.٤ اكتب إجابة طفلك في الفراغ التالي: البقرة كبيرة و الفأر______,1.4 Write your child’s answer in the following space: The cow is big and the mouse is _____
١.٤ فضلً اكتب إجابة طفلك في الفراغ التالي:,1.4 Please write your child’s answer in the following space:
١.٤ وجِّه بعض الأسئلة لطفلك، مثل:“ السيارة كبيرة، ولكن الحافلة ...” “أكبر”. القطة ثقيلة ولكن الرجل ...“أثقل”. التلفزيون صغير ولكن الكتاب ... “أصغر”.,"1.4 Ask your child some questions, such as: “The car is big, but the bus...” “Bigger.” The cat is heavy, but the man is... “heavier.” The TV is small but the book is... “smaller”."
١.٥ اذكر مثالاً في الفراغ التالي:,1.5 Give an example in the following space:
١.٥ اكتب جملة طفلك بالفراغ التالي:,1.5 Write your child’s sentence in the following space:
١.٥ برجاء تحديد التعليمات التي ينفذها طفلك:,1.5 Please specify the instructions your child carries out:
١.٥“ماذا تفعل إذا شعرت بالجوع؟”,1.5 “What do you do if you feel hungry?”
١.٦ اسأل طفلك مثلا “كيف ذهبتما إلى السوق؟” (ذهبنا مشياً)“ ماذا فعلت في منزل صديقك؟” (لعبنا).,"1.6 Ask your child, for example, “How did you go to the market?” (We went walking) “What did you do at your friend’s house?” (We played)."
١.٦ اكتب جملة طفلك بالفراغ التالي:,1.6 Write your child’s sentence in the following space:
١.٦ فضلً اكتب إجابة طفلك في الفراغ التالي:,1.6 Please write your child’s answer in the following space:
٢. أثناء الوقوف، هل يرمي طفلك الكرة وهو رافعٌ ذراعه بارتفاع كتفه إلى الأمام باتجاه الشخص الذي يبعد عنه مسافة 6 أقدام / مترين؟,"2. While standing, does your child throw the ball with his arm raised shoulder height forward toward the person 6 feet/2 meters away?"
٢. إذا أراد طفلك شيئًا بعيدًا عن متناول يديه، هل يبحث عن كرسي أو صندوق ليصعد عليه حتي يحصل على مايريد؟,"2. If your child wants something out of his reach, does he look for a chair or box to climb on to get what he wants?"
٢. إذا أراد طفلك شيئًا بعيدًا عن متناول يديه، هل يبحث عن كرسي أو صندوق ليصعد عليه حتي يحصل على مايريد؟ (كلعبة موضوعة على رف مثلا).,"2. If your child wants something out of his reach, does he look for a chair or box to climb on to get what he wants? (Like a toy placed on a shelf, for example)."
٢. إذا أراد طفلك شيئًا ما، فهل يخبرك عنه من خلال الإشارة إليه؟,"2. If your child wants something, does he tell you about it by pointing to it?"
٢. إذا أشرت إلى صورة كرة (أو قطة أو قبعة أو كوب)، ومن ثم سألت طفلك “ما هذه الصورة؟” فهل يسمّي طفلك شيئًا واحدًا على الأقل بنجاح؟,"2. If you point to a picture of a ball (or a cat, or a hat, or a cup), and then ask your child, “What picture is this?” Does your child name at least one object successfully?"
٢. باستخدام مقص الأطفال الآمن، هل يقص طفلك الورقة إلى نصفين بقص مستقيم أو شبه مستقيم، فاتحًا و مغلقًا شفرتي المقص؟,"2. Using child-safe scissors, does your child cut the paper in half with a straight or near-straight cut, opening and closing the blades of the scissors?"
٢. بعد أن تغيب عن نظره لفترة، هل يبتسم طفلك أو يبدي فرحًا لرؤيتك؟,"2. After you've been out of sight for a while, does your child smile or show joy at seeing you?"
٢. بعد أن يرفع طفلك رأسه إلى الأعلى أثناء استلقائه على بطنه، هل يرجع رأسه إلى الأرض بدرجة من التحكم بدلً من أن يتركه ليسقط؟,"2. After your baby holds his head up while lying on his tummy, does he return his head to the floor with some control rather than letting it fall?"
٢. بعد أن يشاهدك طفلك ترسم خطًا من أعلى الصحفة إلى أسفلها، هل يقلدك برسم خط على الصفحة بأي اتجاه كان مستخدمًا قلم تلوين أو قلم رصاص أو حبر؟,"2. After your child watches you draw a line from the top of the page to the bottom, does he or she imitate you by drawing a line on the page in any direction with a crayon, pencil, or ink?"
٢. بعد أن يشاهدك طفلك ترسم خطًا من أعلى الصفحة إلى أسفلها مستخدمًا قلم تلوين أو قلم رصاص أو حبر، اطلب منه أن يرسم خطًا مشابهًا للذي رسمت. لا تجعله يرسم فوق خطك. هل يستطيع طفلك رىسم خط عمودي؟,"2. After your child watches you draw a line from the top to the bottom of the page using a crayon, pencil, or ink, ask him to draw a line similar to the one you drew. Don't let him draw over your line. Can your child draw a vertical line?"
٢. بعد أن يشاهدك طفلك ترسم خطًا من يمين الصفحة إلى يسارها، اطلب منه أن يرسم خطًا مشابهًا للذي رسمت. لا تجعله يرسم فوق خطك.هل يستطيع طفلك رىسم خط أفقي؟,"2. After your child watches you draw a line from the right to the left of the page, ask him to draw a line similar to the one you drew. Don't let him draw above your line. Can your child draw a horizontal line?"
٢. حينما تحرك لعبة أمام طفلك للأعلى والأسفل (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه؟,"2. When you move a toy up and down in front of your child (about 10 inches/25 cm away), does your child track the toy's movement with his eyes?"
٢. عند تصفحه لكتاب يحتوي على صور، هل يخبرك طفلك عما تحويه الصور من أحداث؟ (على سبيل المثال، “ينبح”، أو “يجري” أو يأكل، أو يبكي…)؟ يمكنك أن تسأله ماذا يفعل الكلب أو الولد في الصورة؟,"2. When browsing a book that contains pictures, does your child tell you about the events in the pictures? (For example, “barks”, “runs”, eats, cries…)? You can ask him what the dog or boy is doing in the picture?"
٢. عندما تسأل طفلك عن شيء مألوف له، هل يذهب إلى الغرفة الأخرى ليبحث عنه؟,"2. When you ask your child about something familiar, does he go into the other room to look for it?"
٢. عندما تسأل طفلك “أي دائرة هي الصغرى؟”، هل يشير إلى الدائرة الصغرى؟,2. When you ask your child “Which circle is the smallest?” does he point to the smallest circle?
٢. عندما تضع لعبة في يد طفلك، هل يقوم بالتلويح بها ولو لفترة قصيرة؟,"2. When you put a toy in your child's hand, does he wave it, even briefly?"
٢. عندما تقلد الصوت الذي يطلقه طفلك، هل يقوم طفلك بتقليد الصوت فسه لك؟,"2. When you imitate the sound your child makes, does your child imitate the same sound back to you?"
٢. عندما تقلد الصوت الذي يطلقه طفلك، هل يقوم طفلك بتقليد الصوت نفسه لك؟,"2. When you imitate the sound your child makes, does your child imitate the same sound back to you?"
٢. عندما تقول لطفلك:“ قل سبعة، ثلاثة”، هل يُعيد عليك الرقمين بنفس الترتيب؟ لا تكرر عليه الأرقام مرة أخرى.,"2. When you say to your child: “Say seven, three,” does he repeat the two numbers to you in the same order? Don't repeat the numbers again."
٢. عندما تُري طفلك كيفية ركل الكرة، هل يحاول ركلها بتحريك ساقه إلى الأمام أو بالمشي تجاه الكرة؟ .,"2. When you show your child how to kick a ball, does he try to kick it by moving his leg forward or by walking toward the ball? ."
٢. عندما تُلبس طفلك قميصه هل يدفع بذراعه داخل كم القميص حال دخولها فتحة الكم؟,"2. When you put your child on his shirt, does he push his arm into the shirt sleeve as soon as it enters the sleeve opening?"
٢. عندما يصدر صوت عالٍ من مكان ما، هل ينظر طفلك إلى المكان الذي صدر منه الصوت؟,"2. When a loud sound comes from somewhere, does your child look to where the sound came from?"
٢. عندما يكون طفلك مستلقيًا على بطنه، هل يدير رأسه إلى الجنب؟,"2. When your baby is lying on his stomach, does he turn his head to the side?"
٢. عندما يكون طفلك مستلقيًا على بطنه، هل يقوم بمد ذراعيه دافعًا بكامل صدره عن السرير أو الأرض؟,"2. When your baby is lying on his stomach, does he extend his arms, pushing his entire chest off the bed or floor?"
٢. عندما يكون طفلك مستلقيًا على ظهره، هل يحاول الوصول إلى لعبة سقطت منه إذا كان يستطيع أن يراها؟,"2. When your baby is lying on his back, does he try to reach a dropped toy if he can see it?"
٢. عندما يكون طفلك مستلقيًا على ظهره، هل يدير رأسه ليبحث عن اللعبة التي سقطت منه؟,"2. When your baby is lying on his back, does he turn his head to look for the toy he dropped?"
