"quest","quest_label","domain","item_no","item_code","item_id","item_text_ar","item_text_en","relevance_score","clarity_score","cultural_fit_score","reviewer_id","comments"
4,"4-month","Gross motor",3,"gm3","q4_gm3","٣. عندما يكون طفلك مستلقيًا على بطنه، هل يقوم برفع رأسه وإبعاد ذقنه عن الأرض ما يقارب مسافة 3 بوصة / 8 سم لمدة 15 ثانية على الأقل؟","3. When your baby is lying on his stomach, does he lift his head and keep his chin about 3 inches/8 cm off the floor for at least 15 seconds?",NA,NA,NA,NA,NA
4,"4-month","Gross motor",4,"gm4","q4_gm4","٤. عندما يكون طفلك مستلقيًا على بطنه، هل يرفع رأسه إلى الأعلى لينظر حوله؟","4. When your baby is lying on his stomach, does he lift his head up to look around?",NA,NA,NA,NA,NA
4,"4-month","Gross motor",5,"gm5","q4_gm5","٥. عندما تمسك طفلك في وضعية الجلوس، هل يستطيع إبقاء رأسه ثابتًا دون حركة؟","5. When you hold your baby in a sitting position, can he keep his head still?",NA,NA,NA,NA,NA
4,"4-month","Gross motor",6,"gm6","q4_gm6","٦. عندما يكون طفلك مستلقيًا على ظهره، هل يقوم بضم كلتا يديه مقابل صدره ولمس أصابعه؟","6. When your baby is lying on his back, does he cup both hands against his chest and touch his fingers?",NA,NA,NA,NA,NA
4,"4-month","Fine motor",1,"fm1","q4_fm1","١. هل يُبقي طفلك يديه مفتوحتين جزئيًا أو بالكامل عندما يكون مستيقظًا؟","1. Does your child keep his hands partially or fully open when awake?",NA,NA,NA,NA,NA
4,"4-month","Fine motor",2,"fm2","q4_fm2","٢. عندما تضع لعبة في يد طفلك، هل يقوم بالتلويح بها ولو لفترة قصيرة؟","2. When you put a toy in your child's hand, does he wave it, even briefly?",NA,NA,NA,NA,NA
4,"4-month","Fine motor",3,"fm3","q4_fm3","٣. هل يمسك طفلك بملابسه أو يخدشها بأصابعه؟","3. Does your child grab his clothes or scratch them with his fingers?",NA,NA,NA,NA,NA
4,"4-month","Fine motor",4,"fm4","q4_fm4","٤. عندما تضع لعبة في يد طفلك، هل يمسك بها لمدة دقيقة واحدة بينما ينظر إليها، ويحركها، ويحاول عضها؟","4. When you place a toy in your child's hand, does he hold it for a minute while looking at it, moving it, and trying to bite it?",NA,NA,NA,NA,NA
4,"4-month","Fine motor",5,"fm5","q4_fm5","٥. هل يمسك طفلك - أو يخدش بأصابعه - السطح الذي أمامه إذا كنت تسنده في وضعية الجلوس أو إذا كان مستلقيًا على بطنه؟","5. Does your baby grab - or scratch with his fingers - the surface in front of him if you're propping him up in a sitting position or if he's lying on his tummy?",NA,NA,NA,NA,NA
4,"4-month","Fine motor",6,"fm6","q4_fm6","٦. عندما تمسك بطفلك وهو بوضعية الجلوس، هل يحاول الوصول إلى اللعبة التي على الطاولة بالقرب منه حتى لو كان لا يستطيع الوصول إليها بيده؟","6. When you hold your baby in a sitting position, does he try to reach the toy on the table near him even if he can't reach it with his hand?",NA,NA,NA,NA,NA
4,"4-month","Problem-solving",1,"cg1","q4_cg1","١. حينما تحرك لعبة أمام طفلك من جهة لأخرى (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه، أو بتحريك رأسه أحيانًا؟","1. When you move a toy in front of your baby from side to side (about 10 inches/25 cm away), does your baby track the toy's movement with his eyes, or sometimes by moving his head?",NA,NA,NA,NA,NA
4,"4-month","Problem-solving",2,"cg2","q4_cg2","٢. حينما تحرك لعبة أمام طفلك للأعلى والأسفل (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه؟","2. When you move a toy up and down in front of your child (about 10 inches/25 cm away), does your child track the toy's movement with his eyes?",NA,NA,NA,NA,NA
4,"4-month","Problem-solving",3,"cg3","q4_cg3","٣. عندما تمسك بطفلك في وضعية الجلوس هل ينظر إلى لعبة بحجم كوب أو خشخيشة تضعها على طاولة أمامه أو على الأرض؟","3. When you hold your baby in a sitting position, does he look at a cup-sized toy or a rattle that you place on a table in front of him or on the floor?",NA,NA,NA,NA,NA
4,"4-month","Problem-solving",4,"cg4","q4_cg4","٤. عندما تضع لعبة في يد طفلك، هل ينظر إليها؟","4. When you put a toy in your child's hand, does he look at it?",NA,NA,NA,NA,NA
4,"4-month","Problem-solving",5,"cg5","q4_cg5","٥. عندما تضع لعبة في يد طفلك، هل يضعها في فمه؟","5. When you put a toy in your child's hand, does he put it in his mouth?",NA,NA,NA,NA,NA
4,"4-month","Problem-solving",6,"cg6","q4_cg6","٦. عندما يكون طفلك مستلقيًا على ظهره، وتقوم أنت بتحريك لعبة فوقه، هل يمد طفلك يديه نحو اللعبة؟","6. When your baby is lying on his back and you move a toy over him, does your baby extend his hands toward the toy?",NA,NA,NA,NA,NA
4,"4-month","Personal-social",1,"ps1","q4_ps1","١. هل ينظر طفلك إلى يديه؟","1. Does your child look at his hands?",NA,NA,NA,NA,NA
4,"4-month","Personal-social",2,"ps2","q4_ps2","٢. هل يلعب طفلك بأصابعه عندما تكون يداه مطبقتين إحداهما على الأخرى؟","2. Does your child play with his fingers when his hands are closed together?",NA,NA,NA,NA,NA
4,"4-month","Personal-social",3,"ps3","q4_ps3","٣. عندما يرى طفلك زجاجة الحليب أو الثدي ، هل يظهر معرفته أنه على وشك أن يتغذى؟","3. When your baby sees a bottle or breast, does he show knowledge that he is about to be fed?",NA,NA,NA,NA,NA
4,"4-month","Personal-social",4,"ps4","q4_ps4","٤. هل يساعدك طفلك بمسك زجاجة الحليب في يديه أثناء الرضاعة، أو هل يمسك بالثدي بيديه أثناء الرضاعة؟","4. Does your baby help you hold the milk bottle in his hands while feeding, or does he hold the breast with his hands while feeding?",NA,NA,NA,NA,NA
4,"4-month","Personal-social",5,"ps5","q4_ps5","٥. هل يبتسم طفلك لرؤيتك بالقرب قبل أن تكلمه أو تبتسم له؟","5. Does your child smile when he sees you nearby before you speak or smile at him?",NA,NA,NA,NA,NA
4,"4-month","Personal-social",6,"ps6","q4_ps6","٦. عندما يكون طفلك أمام المرآة، هل يبتسم أو يناغي لنفسه؟","6. When your child is in front of the mirror, does he smile or chatter to himself?",NA,NA,NA,NA,NA
6,"6-month","Communication",1,"c1","q6_c1","١. هل يناغي طفلك بصوت عالٍ؟","1. Does your child babble loudly?",NA,NA,NA,NA,NA
6,"6-month","Communication",2,"c2","q6_c2","٢. هل يطلق طفلك أصواتًا كالعويل، أوالزئير، أو أصواتًا أخرى عميقة؟","2. Does your baby make sounds like howling, roaring, or other deep sounds?",NA,NA,NA,NA,NA
6,"6-month","Communication",3,"c3","q6_c3","٣. عندما تنادي طفلك وأنت بعيد عن نظره، هل ينظر إلى الاتجاه الذي يصدر منه صوتك؟","3. When you call your child out of sight, does he look in the direction your voice is coming from?",NA,NA,NA,NA,NA
6,"6-month","Communication",4,"c4","q6_c4","٤. عندما يصدر صوت عالٍ من مكان ما، هل ينظر طفلك إلى المكان الذي صدر منه الصوت؟","4. When a loud sound comes from somewhere, does your child look to where the sound came from?",NA,NA,NA,NA,NA
6,"6-month","Communication",5,"c5","q6_c5","٥. هل يطلق طفلك أصوات كالأصوات الآتية: ”دا“، و ”با“، و ”كا“، و ”غا“؟","5. Does your baby make sounds such as “da,” “ba,” “ka,” and “ga”?",NA,NA,NA,NA,NA
6,"6-month","Communication",6,"c6","q6_c6","٦. عندما تقلد الصوت الذي يطلقه طفلك، هل يقوم طفلك بتقليد الصوت نفسه لك؟","6. When you imitate the sound your child makes, does your child imitate the same sound back to you?",NA,NA,NA,NA,NA
6,"6-month","Gross motor",1,"gm1","q6_gm1","١. عندما يكون طفلك مستلقيًا على ظهره، هل يقوم برفع ساقيه عاليًا بقدر يمكنه من رؤية قدميه؟","1. When your baby is lying on his back, does he raise his legs so high that he can see his feet?",NA,NA,NA,NA,NA
6,"6-month","Gross motor",2,"gm2","q6_gm2","٢. عندما يكون طفلك مستلقيًا على بطنه، هل يقوم بمد ذراعيه دافعًا بكامل صدره عن السرير أو الأرض؟","2. When your baby is lying on his stomach, does he extend his arms, pushing his entire chest off the bed or floor?",NA,NA,NA,NA,NA
6,"6-month","Gross motor",3,"gm3","q6_gm3","٣. هل ينقلب طفلك من وضعية الاستلقاء على ظهره إلى بطنه مخرجًا ذراعيه من تحت جسده؟","3. Does your baby turn from lying on his back to his stomach, pulling his arms out from under his body?",NA,NA,NA,NA,NA
6,"6-month","Gross motor",4,"gm4","q6_gm4","٤. عندما تضع طفلك على الأرض، هل يتكئ على يديه عند الجلوس؟","4. When you place your baby on the floor, does he lean on his hands when sitting?",NA,NA,NA,NA,NA
6,"6-month","Gross motor",5,"gm5","q6_gm5","٥. عندما تمسك بكلتا يدي طفلك لتساعده على التوازن أثناء الوقوف، هل يقف دون اهتزاز؟","5. When you hold your child in both hands to help him balance while standing, does he stand without shaking?",NA,NA,NA,NA,NA
6,"6-month","Gross motor",6,"gm6","q6_gm6","٦. هل يرفع طفلك نفسه على اليدين والركبتين متخذًا وضعية الحبو؟","6. Does your baby raise himself up on his hands and knees in a crawling position?",NA,NA,NA,NA,NA
6,"6-month","Fine motor",1,"fm1","q6_fm1","١. هل يأخذ طفلك لعبة تقدمها له ثم ينظر إليها، ويلوح بها، أو يعضها لدقيقة واحدة تقريبًا؟","1. Does your child take a toy you offer and then look at it, wave it, or bite it for about a minute?",NA,NA,NA,NA,NA
6,"6-month","Fine motor",2,"fm2","q6_fm2","٢. هل يحاول طفلك الوصول أو الإمساك بلعبة ما مستخدمًا كلتا يديه معًا؟","2. Is your child trying to reach or grab a toy using both hands?",NA,NA,NA,NA,NA
6,"6-month","Fine motor",3,"fm3","q6_fm3","٣. هل يحاول طفلك الوصول إلى كسرة خبز ولمسها بإصبعه أو بيده؟","3. Does your child try to reach out and touch a piece of bread with his finger or hand?",NA,NA,NA,NA,NA
6,"6-month","Fine motor",4,"fm4","q6_fm4","٤. هل يلتقط طفلك لعبة صغيرة، ويمسك بها في منتصف يده وأصابعه قابضة عليها؟","4. Does your child pick up a small toy, hold it in the middle of his hand with his fingers clenching it?",NA,NA,NA,NA,NA
6,"6-month","Fine motor",5,"fm5","q6_fm5","٥. هل يحاول طفلك التقاط كسرة خبز بثني أصابعه، حتى لو لم يستطع التقاطها؟","5. Does your child try to pick up a piece of bread by bending his fingers, even if he can't pick it up?",NA,NA,NA,NA,NA
6,"6-month","Fine motor",6,"fm6","q6_fm6","٦. هل يلتقط طفلك لعبة صغيرة بيد واحدة؟","6. Does your child pick up a small toy with one hand?",NA,NA,NA,NA,NA
6,"6-month","Problem-solving",1,"cg1","q6_cg1","١. عندما تكون هناك لعبة أمام طفلك، هل يحاول أن يصل إليها بكلتا يديه؟","1. When there is a toy in front of your child, does he try to reach it with both hands?",NA,NA,NA,NA,NA
6,"6-month","Problem-solving",2,"cg2","q6_cg2","٢. عندما يكون طفلك مستلقيًا على ظهره، هل يدير رأسه ليبحث عن اللعبة التي سقطت منه؟","2. When your baby is lying on his back, does he turn his head to look for the toy he dropped?",NA,NA,NA,NA,NA
6,"6-month","Problem-solving",3,"cg3","q6_cg3","٣. عندما يكون طفلك مستلقيًا على ظهره، هل يحاول الوصول إلى لعبة سقطت منه إذا كان يستطيع أن يراها؟","3. When your baby is lying on his back, does he try to reach a dropped toy if he can see it?",NA,NA,NA,NA,NA
6,"6-month","Problem-solving",4,"cg4","q6_cg4","٤. هل يلتقط طفلك بلعبة ويضعها في فمه؟","4. Does your child pick up a toy and put it in his mouth?",NA,NA,NA,NA,NA
6,"6-month","Problem-solving",5,"cg5","q6_cg5","٥. هل يمرر طفلك اللعبة من يد لأخرى عدة مرات؟","5. Does your child pass the toy from one hand to another several times?",NA,NA,NA,NA,NA
6,"6-month","Problem-solving",6,"cg6","q6_cg6","٦. هل يلعب طفلك بخبط اللعبة للأعلى والأسفل، على الأرض أو الطاولة؟","6. Does your child play by banging the toy up and down, on the floor or table?",NA,NA,NA,NA,NA
6,"6-month","Personal-social",1,"ps1","q6_ps1","١. عندما يكون طفلك أمام المرآة، هل يبتسم أو يناغي لنفسه؟","1. When your child is in front of the mirror, does he smile or chatter to himself?",NA,NA,NA,NA,NA
6,"6-month","Personal-social",2,"ps2","q6_ps2","٢. هل يتصرف طفلك بشكل مختلف مع الغرباء مقارنة بتصرفه معك أو الأشخاص الذين يعرفهم؟","2. Does your child act differently around strangers than he does with you or people he knows?",NA,NA,NA,NA,NA
6,"6-month","Personal-social",3,"ps3","q6_ps3","٣. عندما يكون طفلك مستلقيًا على ظهره هل يحاول اللعب بإمساك قدمه؟","3. When your baby is lying on his back, does he try to play by holding his foot?",NA,NA,NA,NA,NA
6,"6-month","Personal-social",4,"ps4","q6_ps4","٤. عندما يكون طفلك مقابلً لمرآة كبيرة، هل يحاول الوصول إليها ولمسها؟","4. When your child is facing a large mirror, does he try to reach out and touch it?",NA,NA,NA,NA,NA
6,"6-month","Personal-social",5,"ps5","q6_ps5","٥. هل يضع طفلك قدمه في فمه عندما يكون مستلقيًا على ظهره؟","5. Does your baby put his foot in his mouth when he's lying on his back?",NA,NA,NA,NA,NA
6,"6-month","Personal-social",6,"ps6","q6_ps6","٦. هل يحاول طفلك الوصول إلى لعبة ليست في متناول يديه؟","6. Is your child trying to reach a toy that is not within his reach?",NA,NA,NA,NA,NA
8,"8-month","Communication",1,"c1","q8_c1","١. عندما تنادي طفلك وأنت بعيد عن نظره، هل ينظر إلى الاتجاه الذي يصدر منه صوتك؟","1. When you call your child out of sight, does he look in the direction your voice is coming from?",NA,NA,NA,NA,NA
8,"8-month","Communication",2,"c2","q8_c2","٢. عندما يصدر صوت عالٍ من مكان ما، هل ينظر طفلك إلى المكان الذي صدر منه الصوت؟","2. When a loud sound comes from somewhere, does your child look to where the sound came from?",NA,NA,NA,NA,NA
8,"8-month","Communication",3,"c3","q8_c3","٣. عندما تقلد الصوت الذي يطلقه طفلك، هل يقوم طفلك بتقليد الصوت نفسه لك؟","3. When you imitate the sound your child makes, does your child imitate the same sound back to you?",NA,NA,NA,NA,NA
8,"8-month","Communication",4,"c4","q8_c4","٤. هل يطلق طفلك أصوات كالأصوات الآتية: ” دا“، و ”با“، و ”كا“، و ”غا“؟","4. Does your child make sounds such as “da,” “ba,” “ka,” and “ga”?",NA,NA,NA,NA,NA
8,"8-month","Communication",5,"c5","q8_c5","٥. هل يستجيب طفلك لنبرة صوتك عندما تنهره ”لا لا“؟ كأن ينظر إليك أو يتوقف عن نشاطه لفترة قصيرة على الأقل؟","5. Does your child respond to the tone of your voice when you tell him “no, no”? Like looking at you or stopping his activity for at least a short time?",NA,NA,NA,NA,NA
8,"8-month","Communication",6,"c6","q8_c6","٦. هل يطلق طفلك صوتين متشابهين كالأصوات الآتية: ”دا دا“، أو ”با با“، أو ”غا غا“؟","6. Does your child make two similar sounds, such as “da-da,” “ba-ba,” or “ga-ga”?",NA,NA,NA,NA,NA
8,"8-month","Gross motor",1,"gm1","q8_gm1","١. عندما تضع طفلك على الأرض، هل يتكئ على يديه عند الجلوس؟","1. When you place your baby on the floor, does he lean on his hands when sitting?",NA,NA,NA,NA,NA
8,"8-month","Gross motor",2,"gm2","q8_gm2","٢. هل ينقلب طفلك من وضعية الاستلقاء على ظهره إلى بطنه مخرجًا ذراعيه من تحت جسده؟","2. Does your baby turn from lying on his back to his stomach, pulling his arms out from under his body?",NA,NA,NA,NA,NA
8,"8-month","Gross motor",3,"gm3","q8_gm3","٣. هل يرفع طفلك نفسه على اليدين والركبتين متخذًا وضعية الحبو؟","3. Does your baby raise himself up on his hands and knees in a crawling position?",NA,NA,NA,NA,NA
8,"8-month","Gross motor",4,"gm4","q8_gm4","٤. عندما تمسك بكلتا يدي طفلك لتساعده على التوازن أثناء الوقوف، هل يقف دون اهتزاز؟","4. When you hold your child in both hands to help him balance while standing, does he stand without shaking?",NA,NA,NA,NA,NA
8,"8-month","Gross motor",5,"gm5","q8_gm5","٥. هل يجلس طفلك مستقيمًا على الأرض لبضع دقائق دون أن يتكئ على يديه؟","5. Does your child sit upright on the floor for a few minutes without leaning on his hands?",NA,NA,NA,NA,NA
8,"8-month","Gross motor",6,"gm6","q8_gm6","٦. عندما تساعد طفلك على الوقوف بجانب قطعة أثاث أو حافة سرير، هل يقف ممسكًا بها دون أن يستند بصدره إليها؟","6. When you help your child stand next to a piece of furniture or the edge of a bed, does he stand holding it without resting his chest on it?",NA,NA,NA,NA,NA
8,"8-month","Fine motor",1,"fm1","q8_fm1","١. هل يحاول طفلك الوصول إلى كسرة خبز ولمسها بإصبعه أو بيده؟","1. Does your child try to reach out and touch a piece of bread with his finger or hand?",NA,NA,NA,NA,NA
8,"8-month","Fine motor",2,"fm2","q8_fm2","٢. هل يلتقط طفلك لعبة صغيرة، ويمسك بها في منتصف يده وأصابعه قابضة عليها؟","2. Does your child pick up a small toy, hold it in the middle of his hand with his fingers clenching it?",NA,NA,NA,NA,NA
8,"8-month","Fine motor",3,"fm3","q8_fm3","٣. هل يحاول طفلك التقاط كسرة خبز بثني أصابعه، حتى لو لم يستطع التقاطها؟","3. Does your child try to pick up a piece of bread by bending his fingers, even if he can't pick it up?",NA,NA,NA,NA,NA
8,"8-month","Fine motor",4,"fm4","q8_fm4","٤. هل يلتقط طفلك لعبة صغيرة بيد واحدة؟","4. Does your child pick up a small toy with one hand?",NA,NA,NA,NA,NA
8,"8-month","Fine motor",5,"fm5","q8_fm5","٥. هل ينجح طفلك في التقاط كسرة خبز مستخدمًا إبهامه وبقية الأصابع؟","5. Does your child successfully pick up a piece of bread using his thumb and other fingers?",NA,NA,NA,NA,NA
8,"8-month","Fine motor",6,"fm6","q8_fm6","٦. هل يلتقط طفلك لعبة صغيرة مستخدمًا رؤوس أصابعة؟","6. Does your child pick up a small toy using his or her fingertips?",NA,NA,NA,NA,NA
8,"8-month","Problem-solving",1,"cg1","q8_cg1","١. هل يلتقط طفلك بلعبة ويضعها في فمه؟","1. Does your child pick up a toy and put it in his mouth?",NA,NA,NA,NA,NA
8,"8-month","Problem-solving",2,"cg2","q8_cg2","٢. عندما يكون طفلك مستلقيًا على ظهره، هل يحاول الوصول إلى لعبة سقطت منه إذا كان يستطيع أن يراها؟","2. When your baby is lying on his back, does he try to reach a dropped toy if he can see it?",NA,NA,NA,NA,NA
8,"8-month","Problem-solving",3,"cg3","q8_cg3","٣. هل يلعب طفلك بخبط اللعبة للأعلى والأسفل، على الأرض أو الطاولة؟","3. Does your child play by banging the toy up and down, on the floor or table?",NA,NA,NA,NA,NA
8,"8-month","Problem-solving",4,"cg4","q8_cg4","٤. هل يمرر طفلك اللعبة من يد لأخرى عدة مرات؟","4. Does your child pass the toy from one hand to another several times?",NA,NA,NA,NA,NA
8,"8-month","Problem-solving",5,"cg5","q8_cg5","٥. هل يلتقط طفلك بيديه لعبتين صغيرتين -لعبة واحدة في كل يد- ويمسكهما لمدة دقيقة واحدة؟","5. Does your child pick up two small toys with his hands - one toy in each hand - and hold them for one minute?",NA,NA,NA,NA,NA
